KP          de/qwertz
BSLH        #
PIPE2       >
UNDER       ?
LBKT        ü
RBKT        +
CARET       &
SLASH       -
LBRC        Ü
RBRC        *
STAR        (
HASH        §
DOLAR       $
PIPE        '
TILDE       °
GRAVE       ^
PERCENT     %
PLUS        `
EXCL        !
EQUAL       ´
AMPS        /
LPAR        )
MINUS       ß
COLON       Ö
AT_SIGN     "
SQT         ä
DQT         Ä
SEMI        ö
QMARK       _
NUBS        <
APOS        ä
LT          ;
GT          :
TILDE       °
TILDE2      '
NUHS        #
RA(PIPE)    `
RA(HASH)    £
RA(BSLH)    ’
RA(PIPE2)   ˍ
RA(GRAVE)   ^
RA(NUBS)    |
LS(N6)      &
LS(MINUS)   ?
RA(MINUS)   \
RA(DOT)     …
RA(PIPE)    `
RA(NUHS)    ’
RA(NUBS)    |
